R_fighter,B_fighter,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs
Joanna Jedrzejczyk,Rose Namajunas,11/4/2017,"New York City, New York, USA", USA,Blue,True,Women's Strawweight,FEMALE,5,0,43.5,0.46,1.0,2.5,0.66,2,17,1,0,0,1,0,3,0,4,Orthodox,165.1,165.1,115,0,131.875,0.475,0.0,0.25,0.1875,0,31,6,0,1,5,2,0,0,8,Orthodox,167.64,165.1,125,30,25,0,-7,-5,-4,-2,-14,-5,-2,3,-2.54,0.0,5,-88.375,1.0,2.25,Red,KO/TKO,Punch,1.0,3:03,183.0
Stephen Thompson,Jorge Masvidal,11/4/2017,"New York City, New York, USA", USA,Red,False,Welterweight,MALE,3,0,55.35714286,0.52,0.5,1.071428571,0.353571429,5,38,0,0,0,5,3,1,0,9,Orthodox,180.34,187.96,170,0,48.09090909,0.472727273,0.0,0.454545455,0.166363636,3,30,2,0,0,3,5,0,0,8,Orthodox,182.88,190.5,170,34,32,1,0,-4,1,-2,8,-2,-2,1,-2.54,-2.54,2,7.26623377,0.5,0.616883116,Red,U-DEC,blank,3.0,5:00,900.0
Johny Hendricks,Paulo Costa,11/4/2017,"New York City, New York, USA", USA,Blue,False,Middleweight,MALE,3,0,32.5,0.605,0.0,0.0,0.0,0,3,0,0,0,0,2,0,0,2,Orthodox,185.42,182.88,185,0,42.9,0.508,0.3,3.05,0.3095,7,54,3,1,2,5,5,0,0,13,Southpaw,175.26,175.26,185,34,26,1,2,-4,-11,7,-51,-3,-3,0,10.16,7.62,8,-10.4,-0.3,-3.05,neither,KO/TKO,Punches,2.0,1:23,383.0
James Vick,Joe Duffy,11/4/2017,"New York City, New York, USA", USA,Red,False,Lightweight,MALE,3,0,22.8,0.348,0.6,0.0,0.0,1,9,0,0,0,1,1,2,0,4,Orthodox,177.8,185.42,155,0,34.375,0.32375,0.625,0.125,0.0625,1,16,0,0,0,3,1,3,0,7,Orthodox,190.5,193.04,155,30,29,0,0,-3,-3,0,-7,0,0,-1,-12.7,-7.62,1,-11.575,-0.025,-0.125,neither,KO/TKO,Punch,2.0,4:59,599.0
Walt Harris,Mark Godbeer,11/4/2017,"New York City, New York, USA", USA,Blue,False,Heavyweight,MALE,3,0,48.5,0.5,0.0,0.0,0.0,1,4,0,0,0,1,0,0,0,1,Orthodox,193.04,195.58,240,0,19.75,0.31875,0.125,0.0,0.0,5,14,0,0,0,0,3,0,0,3,Southpaw,195.58,195.58,250,34,33,1,1,-1,-2,4,-10,0,-3,0,-2.54,0.0,1,28.75,-0.125,0.0,neither,DQ,blank,1.0,4:29,269.0
Ovince Saint Preux,Corey Anderson,11/4/2017,"New York City, New York, USA", USA,Red,False,Light Heavyweight,MALE,3,0,56.22222222,0.458888889,0.0,3.222222222,0.52,3,22,1,0,0,4,2,0,0,6,Orthodox,190.5,200.66,205,0,26.21428571,0.46,0.285714286,0.642857143,0.297142857,5,33,1,1,0,1,4,3,0,9,Southpaw,190.5,203.2,205,34,28,-1,-2,-1,-3,2,-11,0,-2,-3,0.0,-2.54,6,30.00793651,-0.285714286,2.579365079,Red,KO/TKO,Kick,3.0,1:25,685.0
Randy Brown,Mickey Gall,11/4/2017,"New York City, New York, USA", USA,Red,False,Welterweight,MALE,3,0,10.33333333,0.54,2.0,1.0,0.666666667,0,4,0,0,0,0,0,3,0,3,Switch,187.96,187.96,170,0,32.8,0.444,0.6,0.6,0.316,2,13,0,0,0,1,1,1,0,3,Orthodox,190.5,198.12,170,27,25,1,3,1,0,2,-9,0,-1,2,-2.54,-10.16,2,-22.46666667,1.4,0.4,neither,U-DEC,blank,3.0,5:00,900.0
Aleksei Oleinik,Curtis Blaydes,11/4/2017,"New York City, New York, USA", USA,Blue,False,Heavyweight,MALE,3,0,43.25,0.555,0.0,3.75,0.49,2,9,0,0,0,1,1,0,0,2,Orthodox,193.04,203.2,265,0,18.2,0.484,1.2,1.6,0.314,1,8,0,0,0,0,1,3,0,4,Orthodox,187.96,203.2,240,40,26,0,-1,-1,-2,-1,1,0,0,-3,5.08,0.0,14,25.05,-1.2,2.15,Red,KO/TKO,blank,2.0,1:39,399.0
Aiemann Zahabi,Ricardo Ramos,11/4/2017,"New York City, New York, USA", USA,Blue,False,Bantamweight,MALE,3,0,45.0,0.51,1.0,0.0,0.0,0,3,0,0,0,1,0,0,0,1,Orthodox,175.26,182.88,135,0,44.0,0.39,0.0,0.0,0.0,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,135,29,22,0,0,0,0,0,0,0,0,0,2.54,10.16,7,1.0,1.0,0.0,neither,KO/TKO,Elbow,3.0,1:58,718.0
Derek Brunson,Lyoto Machida,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Middleweight,MALE,5,0,30.47619048,0.533333333,0.380952381,0.666666667,0.292857143,7,55,5,0,1,6,6,1,0,14,Southpaw,185.42,187.96,185,0,21.63636364,0.480909091,0.272727273,1.181818182,0.13,3,19,0,0,0,2,5,1,0,8,Southpaw,185.42,195.58,185,33,39,-2,-1,3,6,-4,36,5,1,0,0.0,-7.62,-6,8.83982684,0.108225108,-0.515151515,Red,KO/TKO,Punch,1.0,2:30,150.0
Demian Maia,Colby Covington,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,False,Welterweight,MALE,3,0,28.75,0.57375,0.25,5.125,0.56875,1,20,0,0,0,3,2,2,0,7,Orthodox,180.34,182.88,170,0,21.61538462,0.543461538,0.923076923,2.307692308,0.389615385,7,70,2,0,1,8,1,9,0,19,Southpaw,185.42,182.88,170,39,29,1,4,-3,-12,6,-50,-2,1,-7,-5.08,0.0,10,7.13461538,-0.673076923,2.817307692,Red,U-DEC,blank,3.0,5:00,900.0
Pedro Munhoz,Rob Font,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Bantamweight,MALE,3,0,40.0,0.52,0.8,0.8,0.34,1,9,0,0,0,0,3,1,0,4,Orthodox,172.72,180.34,135,0,33.14285714,0.511428571,0.857142857,0.857142857,0.257142857,3,14,0,0,0,1,1,2,0,4,Orthodox,167.64,165.1,135,31,30,0,-1,-1,0,2,-5,0,2,-1,5.08,15.24,1,6.85714286,-0.057142857,-0.057142857,Red,SUB,Guillotine Choke,1.0,4:03,243.0
Francisco Trinaldo,Jim Miller,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Lightweight,MALE,3,0,30.59259259,0.368148148,1.444444444,1.222222222,0.422222222,10,65,0,0,2,6,3,6,0,17,Southpaw,172.72,180.34,155,0,37.06666667,0.504666667,0.4,0.8,0.270666667,4,36,0,0,1,5,2,2,1,11,Southpaw,175.26,177.8,155,39,34,-1,0,0,6,-6,29,0,0,4,-2.54,2.54,5,-6.47407408,1.044444444,0.422222222,neither,U-DEC,blank,3.0,5:00,900.0
Thiago Santos,Jack Hermansson,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Middleweight,MALE,3,0,40.75,0.5825,0.0,0.75,0.54,1,7,0,0,0,1,2,0,0,3,Orthodox,185.42,195.58,185,0,21.45454545,0.428181818,0.0,0.181818182,0.090909091,4,17,0,0,0,1,6,0,0,7,Orthodox,187.96,193.04,205,33,29,0,0,-2,-4,3,-10,0,-4,0,-2.54,2.54,4,19.29545455,0.0,0.568181818,Red,KO/TKO,Punch,1.0,4:59,299.0
John Lineker,Marlon Vera,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Bantamweight,MALE,3,0,30.16666667,0.431666667,1.333333333,0.5,0.248333333,2,15,0,0,0,1,1,2,0,4,Switch,172.72,177.8,135,0,55.76923077,0.41,0.461538462,0.461538462,0.192307692,3,32,0,0,1,3,5,1,0,10,Orthodox,160.02,170.18,135,27,24,1,3,-3,-6,1,-17,0,-4,1,12.7,7.62,3,-25.6025641,0.871794871,0.038461538,Red,U-DEC,blank,3.0,5:00,900.0
Vicente Luque,Niko Price,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Welterweight,MALE,3,0,13.0,0.36,0.666666667,0.333333333,0.083333333,1,4,0,0,0,0,1,1,0,2,Orthodox,182.88,193.04,170,0,18.16666667,0.478333333,0.5,1.0,0.18,2,11,0,0,0,0,2,2,0,4,Orthodox,180.34,190.5,170,25,28,1,1,-3,-2,1,-7,0,-1,-1,2.54,2.54,-3,-5.16666667,0.166666667,-0.666666667,neither,SUB,D'Arce Choke,2.0,4:08,548.0
Antonio Carlos Junior,Jack Marshman,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Middleweight,MALE,3,0,41.0,0.31,0.0,0.0,0.0,1,7,0,0,0,1,1,0,0,2,Orthodox,182.88,185.42,185,0,23.57142857,0.41,0.571428571,3.285714286,0.407142857,3,19,1,0,0,2,0,2,0,4,Orthodox,187.96,200.66,185,27,27,0,-1,-1,-2,2,-12,-1,1,-2,-5.08,-15.24,0,17.42857143,-0.571428571,-3.285714286,neither,SUB,Rear Naked Choke,1.0,4:30,270.0
Hacran Dias,Jared Gordon,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,False,Lightweight,MALE,3,0,67.0,0.55,0.0,4.0,0.66,0,2,0,0,0,0,1,0,0,1,Orthodox,175.26,172.72,155,0,31.0,0.45,0.428571429,2.857142857,0.38,4,21,0,0,1,2,0,0,0,3,Orthodox,172.72,175.26,155,33,29,2,1,-1,-2,4,-19,0,1,0,2.54,-2.54,4,36.0,-0.428571429,1.142857143,neither,U-DEC,blank,3.0,5:00,900.0
Elizeu Zaleski dos Santos,Max Griffin,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Welterweight,MALE,3,0,14.0,0.435,0.5,0.0,0.0,1,4,0,0,0,0,1,0,0,1,Orthodox,180.34,193.04,170,0,61.5,0.3925,0.75,0.5,0.285,1,12,0,0,1,1,1,0,0,3,Orthodox,180.34,185.42,170,30,31,0,-2,-2,-2,0,-8,0,0,0,0.0,7.62,-1,-47.5,-0.25,-0.5,neither,U-DEC,blank,3.0,5:00,900.0
Deiveson Figueiredo,Jarred Brooks,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Flyweight,MALE,3,0,27.0,0.33,1.0,5.0,0.62,0,3,0,0,1,0,0,0,0,1,Switch,160.02,157.48,125,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,29,24,0,1,1,1,0,3,0,0,0,-5.08,-15.24,5,27.0,1.0,5.0,neither,S-DEC,blank,3.0,5:00,900.0
Marcelo Golm,Christian Colombo,10/28/2017,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,False,Heavyweight,MALE,3,0,39.5,0.34,0.0,0.0,0.0,2,6,0,0,0,0,0,0,0,0,Orthodox,195.58,203.2,265,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,249,25,37,-2,0,0,0,-2,6,0,0,0,5.08,12.7,-12,39.5,0.0,0.0,neither,SUB,Rear Naked Choke,1.0,2:08,128.0
Donald Cerrone,Darren Till,10/21/2017,"Gdansk, Poland", Poland,Blue,False,Welterweight,MALE,5,0,38.5,0.5375,0.0,0.75,0.415,1,11,0,0,0,2,1,0,0,3,Southpaw,182.88,187.96,170,0,44.84,0.492,0.4,0.72,0.302,6,53,1,0,0,6,8,5,0,19,Orthodox,185.42,185.42,155,34,24,2,2,-6,-16,5,-42,-1,-7,-5,-2.54,2.54,10,-6.34,-0.4,0.03,Red,KO/TKO,Punch,1.0,4:20,260.0
Karolina Kowalkiewicz,Jodie Esquibel,10/21/2017,"Gdansk, Poland", Poland,Red,False,Women's Strawweight,FEMALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,154.94,162.56,115,0,65.6,0.328,0.0,0.0,0.0,2,15,1,0,1,2,0,0,0,3,Orthodox,160.02,162.56,115,32,31,2,0,-3,-3,2,-15,-1,0,0,-5.08,0.0,1,-65.6,0.0,0.0,Red,U-DEC,blank,3.0,5:00,900.0
Jan Blachowicz,Devin Clark,10/21/2017,"Gdansk, Poland", Poland,Red,False,Light Heavyweight,MALE,3,0,43.0,0.596666667,0.333333333,2.0,0.576666667,1,7,0,0,0,2,0,0,0,2,Orthodox,182.88,190.5,205,0,42.66666667,0.5,0.166666667,1.0,0.416666667,4,16,0,0,0,1,1,0,0,2,Orthodox,187.96,198.12,205,34,27,2,2,1,0,3,-9,0,-1,0,-5.08,-7.62,7,0.33333333,0.166666666,1.0,neither,SUB,Rear Naked Choke,2.0,3:02,482.0
Oskar Piechota,Jonathan Wilson,10/21/2017,"Gdansk, Poland", Poland,Red,False,Middleweight,MALE,3,0,33.33333333,0.52,0.0,0.333333333,0.333333333,2,6,0,0,0,0,1,0,0,1,Southpaw,187.96,190.5,205,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,193.04,185,27,30,-2,0,1,1,-2,6,0,1,0,5.08,-2.54,-3,33.33333333,0.0,0.333333333,neither,U-DEC,blank,3.0,5:00,900.0
Marcin Held,Nasrat Haqparast,10/21/2017,"Gdansk, Poland", Poland,Red,False,Lightweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,0,28.0,0.37,0.666666667,3.0,0.666666667,3,9,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,25,22,3,0,0,0,3,-9,0,0,0,2.54,2.54,3,-28.0,-0.666666667,-3.0,neither,U-DEC,blank,3.0,5:00,900.0
Damian Stasiak,Brian Kelleher,10/21/2017,"Gdansk, Poland", Poland,Blue,False,Bantamweight,MALE,3,0,6.0,0.38,0.5,0.5,0.165,1,2,0,0,0,0,0,1,0,1,Switch,167.64,167.64,135,0,17.5,0.45,0.75,2.25,0.5675,2,10,0,0,0,0,0,2,0,2,Orthodox,165.1,177.8,135,27,31,0,0,-1,-1,1,-8,0,0,-1,2.54,-10.16,-4,-11.5,-0.25,-1.75,neither,KO/TKO,Punch,3.0,3:39,819.0
Sam Alvey,Ramazan Emeev,10/21/2017,"Gdansk, Poland", Poland,Blue,False,Middleweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,193.04,170,0,30.08333333,0.500833333,0.083333333,0.0,0.0,4,25,0,0,1,2,4,1,0,8,Southpaw,187.96,190.5,205,31,30,0,-1,-4,-8,4,-25,0,-4,-1,-10.16,2.54,1,-30.08333333,-0.083333333,0.0,neither,U-DEC,blank,3.0,5:00,900.0
Artem Lobov,Andre Fili,10/21/2017,"Gdansk, Poland", Poland,Blue,False,Featherweight,MALE,3,0,35.875,0.35625,0.125,1.5,0.48375,4,18,0,0,0,2,2,0,0,4,Orthodox,180.34,187.96,145,0,56.6,0.358,0.0,0.6,0.25,3,17,1,0,0,2,0,0,0,2,Southpaw,175.26,165.1,145,31,27,0,0,-1,2,-1,1,-1,2,0,5.08,22.86,4,-20.725,0.125,0.9,neither,U-DEC,blank,3.0,5:00,900.0
Salim Touahri,Warlley Alves,10/21/2017,"Gdansk, Poland", Poland,Blue,False,Welterweight,MALE,3,0,31.5,0.463333333,1.0,0.833333333,0.386666667,2,15,1,0,0,1,0,3,0,4,Orthodox,180.34,182.88,170,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,28,26,-2,0,4,4,-2,15,1,0,3,2.54,0.0,2,31.5,1.0,0.833333333,neither,U-DEC,blank,3.0,5:00,900.0
Lina Lansberg,Aspen Ladd,10/21/2017,"Gdansk, Poland", Poland,Blue,False,Women's Bantamweight,FEMALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,135,0,47.0,0.575,0.0,0.5,0.07,1,5,0,0,0,1,0,0,0,1,Orthodox,170.18,165.1,135,35,22,0,-1,-1,-1,1,-5,0,0,0,-2.54,2.54,13,-47.0,0.0,-0.5,neither,KO/TKO,Punches,2.0,2:33,453.0
Felipe Arantes,Josh Emmett,10/21/2017,"Gdansk, Poland", Poland,Blue,False,Featherweight,MALE,3,0,60.66666667,0.39,0.333333333,2.666666667,0.22,1,9,0,0,1,1,0,0,0,2,Orthodox,167.64,177.8,145,0,29.1,0.515,0.7,0.9,0.253,5,25,0,0,0,2,1,2,0,5,Orthodox,172.72,185.42,135,29,32,0,0,0,-3,4,-16,0,-1,-2,-5.08,-7.62,-3,31.56666667,-0.366666667,1.766666667,neither,U-DEC,blank,3.0,5:00,900.0
Tony Ferguson,Kevin Lee,10/7/2017,"Las Vegas, Nevada, USA", USA,Red,True,Lightweight,MALE,5,0,35.27272727,0.447272727,1.0,2.272727273,0.439090909,2,23,0,0,1,3,1,4,0,9,Orthodox,175.26,195.58,170,0,51.07692308,0.411538462,1.0,0.461538462,0.32,1,28,1,0,1,3,2,5,1,12,Orthodox,180.34,193.04,155,33,25,0,-4,-4,-3,-1,-5,-1,-2,-1,-5.08,2.54,8,-15.80419581,0.0,1.811188811,Red,SUB,Triangle Choke,3.0,4:02,842.0
Demetrious Johnson,Ray Borg,10/7/2017,"Las Vegas, Nevada, USA", USA,Red,True,Flyweight,MALE,5,0,19.42857143,0.522857143,1.571428571,2.714285714,0.581428571,2,19,0,0,0,3,0,2,0,5,Orthodox,162.56,160.02,135,0,64.25,0.53375,0.625,4.0625,0.44,2,59,12,0,1,7,2,4,0,14,Orthodox,160.02,167.64,125,31,24,0,-10,-9,-9,0,-40,-12,-2,-2,2.54,-7.62,7,-44.82142857,0.946428571,-1.348214286,Red,SUB,Armbar,5.0,3:15,1395.0
Fabricio Werdum,Walt Harris,10/7/2017,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3,0,22.57142857,0.364285714,0.142857143,0.0,0.0,4,13,0,0,0,0,3,0,0,3,Southpaw,195.58,195.58,250,0,48.46153846,0.572307692,0.230769231,0.538461538,0.153076923,4,30,3,0,0,3,4,2,0,9,Orthodox,193.04,195.58,231,40,34,1,2,-4,-6,0,-17,-3,-1,-2,2.54,0.0,6,-25.89010989,-0.087912088,-0.538461538,Red,SUB,Armbar,1.0,1:05,65.0
Mara Romero Borella,Kalindra Faria,10/7/2017,"Las Vegas, Nevada, USA", USA,Red,False,Women's Flyweight,FEMALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Switch,170.18,157.0,125,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,125,31,31,0,0,0,0,0,0,0,0,0,2.54,-18.26,0,0.0,0.0,0.0,neither,SUB,Rear Naked Choke,1.0,2:54,174.0
Tom Duquesnoy,Cody Stamann,10/7/2017,"Las Vegas, Nevada, USA", USA,Blue,False,Bantamweight,MALE,3,0,94.0,0.58,0.0,8.0,0.66,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,162.56,135,0,36.0,0.73,0.0,0.0,0.0,0,2,0,0,0,0,1,0,0,1,Orthodox,170.18,172.72,135,24,27,0,0,0,0,0,1,0,-1,0,-2.54,-10.16,-3,58.0,0.0,8.0,neither,S-DEC,blank,3.0,5:00,900.0
Pearl Gonzalez,Poliana Botelho,10/7/2017,"Las Vegas, Nevada, USA", USA,Blue,False,Women's Strawweight,FEMALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,170.18,115,0,37.0,0.33,1.0,2.0,0.66,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,115,31,28,1,0,0,0,1,-3,0,0,0,10.16,-2.54,3,-37.0,-1.0,-2.0,neither,U-DEC,blank,3.0,5:00,900.0
Matt Schnell,Marco Beltran,10/7/2017,"Las Vegas, Nevada, USA", USA,Red,False,Flyweight,MALE,3,0,21.0,0.4025,0.25,0.5,0.3125,1,9,0,0,1,1,0,1,0,3,Orthodox,172.72,175.26,125,0,15.0,0.41,0.5,0.5,0.5,2,2,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,135,27,31,1,0,3,3,1,7,0,0,1,0.0,-2.54,-4,6.0,-0.25,0.0,neither,U-DEC,blank,3.0,5:00,900.0
John Moraga,Magomed Bibulatov,10/7/2017,"Las Vegas, Nevada, USA", USA,Red,False,Flyweight,MALE,3,0,51.0,0.44,0.0,2.0,0.28,0,3,0,0,0,1,0,0,0,1,Orthodox,165.1,165.1,125,0,33.18181818,0.412727273,0.909090909,0.636363636,0.240909091,5,31,1,0,1,1,1,3,0,6,Orthodox,167.64,167.64,125,33,29,0,0,-1,-5,5,-28,-1,-1,-3,-2.54,-2.54,4,17.81818182,-0.909090909,1.363636364,Red,KO/TKO,Punch,1.0,1:38,98.0
Thales Leites,Brad Tavares,10/7/2017,"Las Vegas, Nevada, USA", USA,Blue,False,Middleweight,MALE,3,0,38.57142857,0.417857143,0.0,1.071428571,0.240714286,4,37,0,0,2,7,1,0,0,10,Orthodox,185.42,187.96,185,0,25.05555556,0.408888889,0.944444444,1.777777778,0.285555556,6,48,1,0,1,4,2,5,0,12,Orthodox,185.42,198.12,185,36,29,0,1,0,-2,2,-11,-1,-1,-5,0.0,-10.16,7,13.51587301,-0.944444444,-0.706349207,Red,U-DEC,blank,3.0,5:00,900.0
Ovince Saint Preux,Yushin Okami,9/22/2017,"Saitama, Saitama, Japan", Japan,Red,False,Light Heavyweight,MALE,5,0,27.11111111,0.382777778,0.444444444,1.5,0.383333333,5,48,1,0,2,6,4,0,1,13,Southpaw,187.96,190.5,170,0,28.23076923,0.495384615,0.230769231,0.692307692,0.32,5,32,1,1,0,1,4,2,0,8,Southpaw,190.5,203.2,205,34,36,-1,-1,0,5,0,16,0,1,-2,-2.54,-12.7,-2,-1.11965812,0.213675213,0.807692308,Red,SUB,Other - Choke,1.0,1:50,110.0
Claudia Gadelha,Jessica Andrade,9/22/2017,"Saitama, Saitama, Japan", Japan,Blue,False,Women's Strawweight,FEMALE,3,0,68.09090909,0.552727273,0.454545455,1.727272727,0.54,4,26,1,0,1,3,1,2,0,7,Orthodox,154.94,157.48,115,0,52.16666667,0.393333333,0.833333333,4.5,0.676666667,2,18,1,0,0,3,0,1,0,4,Orthodox,162.56,160.02,115,28,25,-1,-2,1,3,-2,8,0,1,1,-7.62,-2.54,3,15.92424242,-0.378787878,-2.772727273,Red,U-DEC,blank,3.0,5:00,900.0
Takanori Gomi,Dong Hyun Ma,9/22/2017,"Saitama, Saitama, Japan", Japan,Blue,False,Lightweight,MALE,3,0,41.0,0.506666667,0.0,2.0,0.553333333,2,9,0,0,0,1,0,0,0,1,Orthodox,180.34,177.8,155,0,30.41666667,0.2825,0.0,0.083333333,0.041666667,8,22,0,0,1,1,2,0,0,4,Southpaw,170.18,177.8,155,39,29,4,1,-1,-3,6,-13,0,-2,0,10.16,0.0,10,10.58333333,0.0,1.916666667,neither,KO/TKO,Punch,1.0,1:30,90.0
Gokhan Saki,Henrique da Silva,9/22/2017,"Saitama, Saitama, Japan", Japan,Red,False,Light Heavyweight,MALE,3,0,32.8,0.566,0.2,0.2,0.066,3,10,0,0,0,0,1,1,0,2,Orthodox,190.5,193.04,205,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,205,33,28,-3,0,2,2,-3,10,0,1,1,7.62,7.62,5,32.8,0.2,0.2,neither,KO/TKO,Punch,1.0,4:45,285.0
Teruto Ishihara,Rolando Dy,9/22/2017,"Saitama, Saitama, Japan", Japan,Red,False,Featherweight,MALE,3,0,20.0,0.3,0.0,1.0,0.25,1,2,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,0,36.8,0.514,0.0,0.0,0.0,3,12,0,0,0,0,2,0,0,2,Southpaw,170.18,175.26,135,26,27,1,0,-2,-2,2,-10,0,-2,0,2.54,0.0,-1,-16.8,0.0,1.0,neither,U-DEC,blank,3.0,5:00,900.0
Jussier Formiga,Ulka Sasaki,9/22/2017,"Saitama, Saitama, Japan", Japan,Red,False,Flyweight,MALE,3,0,15.16666667,0.426666667,0.666666667,1.333333333,0.286666667,3,12,0,0,0,0,0,3,0,3,Southpaw,177.8,180.34,125,0,14.33333333,0.344444444,0.333333333,1.333333333,0.264444444,4,22,0,0,0,4,0,1,0,5,Orthodox,165.1,170.18,125,32,27,1,1,-2,-2,1,-10,0,0,2,12.7,10.16,5,0.83333334,0.333333334,0.0,Red,DQ,blank,1.0,5:00,300.0
Keita Nakamura,Alex Morono,9/22/2017,"Saitama, Saitama, Japan", Japan,Red,False,Welterweight,MALE,3,0,66.33333333,0.423333333,0.333333333,0.0,0.0,1,8,0,0,1,1,0,0,0,2,Orthodox,180.34,182.88,170,0,30.85714286,0.371428571,0.571428571,2.0,0.475714286,5,20,0,0,0,0,0,2,0,2,Southpaw,180.34,185.42,170,33,27,0,0,1,0,4,-12,0,0,-2,0.0,-2.54,6,35.47619047,-0.238095238,-2.0,neither,S-DEC,blank,3.0,5:00,900.0
Syuri Kondo,Chanmi Jeon,9/22/2017,"Saitama, Saitama, Japan", Japan,Red,False,Women's Strawweight,FEMALE,3,0,92.0,0.36,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,115,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,167.64,115,28,20,-1,0,0,0,-1,3,0,0,0,2.54,2.54,8,92.0,0.0,0.0,neither,DQ,blank,1.0,5:00,300.0
